,date,series,bbc_coverage
0,2021-01-01,BBCNEWS,0.0
1,2021-01-02,BBCNEWS,0.0
2,2021-01-03,BBCNEWS,0.0
3,2021-01-04,BBCNEWS,0.0182
4,2021-01-05,BBCNEWS,0.0
5,2021-01-06,BBCNEWS,0.0
6,2021-01-07,BBCNEWS,0.0
7,2021-01-08,BBCNEWS,0.0
8,2021-01-09,BBCNEWS,0.0
9,2021-01-10,BBCNEWS,0.0
10,2021-01-11,BBCNEWS,0.0
11,2021-01-12,BBCNEWS,0.0
12,2021-01-13,BBCNEWS,0.0
13,2021-01-14,BBCNEWS,0.0
14,2021-01-15,BBCNEWS,0.0
15,2021-01-16,BBCNEWS,0.0
16,2021-01-17,BBCNEWS,0.0
17,2021-01-18,BBCNEWS,0.0
18,2021-01-19,BBCNEWS,0.0
19,2021-01-20,BBCNEWS,0.0
20,2021-01-21,BBCNEWS,0.0
21,2021-01-22,BBCNEWS,0.0
22,2021-01-23,BBCNEWS,0.0
23,2021-01-24,BBCNEWS,0.0
24,2021-01-25,BBCNEWS,0.0805
25,2021-01-26,BBCNEWS,0.0
26,2021-01-27,BBCNEWS,0.0
27,2021-01-28,BBCNEWS,0.2454
28,2021-01-29,BBCNEWS,0.1346
29,2021-01-30,BBCNEWS,0.3829
30,2021-01-31,BBCNEWS,0.0
31,2021-02-01,BBCNEWS,0.0
32,2021-02-02,BBCNEWS,0.0
33,2021-02-03,BBCNEWS,0.0
34,2021-02-04,BBCNEWS,0.0
35,2021-02-05,BBCNEWS,0.0
36,2021-02-06,BBCNEWS,0.0
37,2021-02-07,BBCNEWS,0.0
38,2021-02-08,BBCNEWS,0.0
39,2021-02-09,BBCNEWS,0.0
40,2021-02-10,BBCNEWS,0.019
41,2021-02-11,BBCNEWS,0.0
42,2021-02-12,BBCNEWS,0.0
43,2021-02-13,BBCNEWS,0.0
44,2021-02-14,BBCNEWS,0.0
45,2021-02-15,BBCNEWS,0.0
46,2021-02-16,BBCNEWS,0.134
47,2021-02-17,BBCNEWS,0.0
48,2021-02-18,BBCNEWS,0.0
49,2021-02-19,BBCNEWS,0.0192
50,2021-02-20,BBCNEWS,0.0193
51,2021-02-21,BBCNEWS,0.0
52,2021-02-22,BBCNEWS,0.0
53,2021-02-23,BBCNEWS,0.0571
54,2021-02-24,BBCNEWS,0.0
55,2021-02-25,BBCNEWS,0.0
56,2021-02-26,BBCNEWS,0.0
57,2021-02-27,BBCNEWS,0.0
58,2021-02-28,BBCNEWS,0.0
59,2021-03-01,BBCNEWS,0.0
60,2021-03-02,BBCNEWS,0.0
61,2021-03-03,BBCNEWS,0.0189
62,2021-03-04,BBCNEWS,0.0
63,2021-03-05,BBCNEWS,0.0
64,2021-03-06,BBCNEWS,0.0
65,2021-03-07,BBCNEWS,0.0
66,2021-03-08,BBCNEWS,0.0
67,2021-03-09,BBCNEWS,0.0
68,2021-03-10,BBCNEWS,0.0
69,2021-03-11,BBCNEWS,0.0
70,2021-03-12,BBCNEWS,0.0
71,2021-03-13,BBCNEWS,0.0
72,2021-03-14,BBCNEWS,0.0
73,2021-03-15,BBCNEWS,0.0
74,2021-03-16,BBCNEWS,0.0
75,2021-03-17,BBCNEWS,0.0
76,2021-03-18,BBCNEWS,0.0
77,2021-03-19,BBCNEWS,0.0762
78,2021-03-20,BBCNEWS,0.0578
79,2021-03-21,BBCNEWS,0.0194
80,2021-03-22,BBCNEWS,0.0
81,2021-03-23,BBCNEWS,0.0
82,2021-03-24,BBCNEWS,0.0
83,2021-03-25,BBCNEWS,0.0
84,2021-03-26,BBCNEWS,0.0434
85,2021-03-27,BBCNEWS,0.0193
86,2021-03-28,BBCNEWS,0.0576
87,2021-03-29,BBCNEWS,0.0192
88,2021-03-30,BBCNEWS,0.0574
89,2021-03-31,BBCNEWS,0.0
90,2021-04-01,BBCNEWS,0.0
91,2021-04-02,BBCNEWS,0.0
92,2021-04-03,BBCNEWS,0.0
93,2021-04-04,BBCNEWS,0.0
94,2021-04-05,BBCNEWS,0.0
95,2021-04-06,BBCNEWS,0.0
96,2021-04-07,BBCNEWS,0.0
97,2021-04-08,BBCNEWS,0.0
98,2021-04-09,BBCNEWS,0.0
99,2021-04-10,BBCNEWS,0.0
100,2021-04-11,BBCNEWS,0.0
101,2021-04-12,BBCNEWS,0.0
102,2021-04-13,BBCNEWS,0.0
103,2021-04-14,BBCNEWS,0.0
