,date,series,cnn_coverage
0,2021-01-01,CNN,0.0
1,2021-01-02,CNN,0.0235
2,2021-01-03,CNN,0.0
3,2021-01-04,CNN,0.0
4,2021-01-05,CNN,0.0461
5,2021-01-06,CNN,0.0
6,2021-01-07,CNN,0.0
7,2021-01-08,CNN,0.0
8,2021-01-09,CNN,0.0
9,2021-01-10,CNN,0.0
10,2021-01-11,CNN,0.0231
11,2021-01-12,CNN,0.0
12,2021-01-13,CNN,0.0
13,2021-01-14,CNN,0.0
14,2021-01-15,CNN,0.0
15,2021-01-16,CNN,0.0
16,2021-01-17,CNN,0.0
17,2021-01-18,CNN,0.0
18,2021-01-19,CNN,0.0
19,2021-01-20,CNN,0.0
20,2021-01-21,CNN,0.0222
21,2021-01-22,CNN,0.023
22,2021-01-23,CNN,0.0
23,2021-01-24,CNN,0.0
24,2021-01-25,CNN,0.0228
25,2021-01-26,CNN,0.0223
26,2021-01-27,CNN,0.0
27,2021-01-28,CNN,0.2947
28,2021-01-29,CNN,0.0225
29,2021-01-30,CNN,0.0239
30,2021-01-31,CNN,0.0679
31,2021-02-01,CNN,0.023
32,2021-02-02,CNN,0.0
33,2021-02-03,CNN,0.0
34,2021-02-04,CNN,0.0439
35,2021-02-05,CNN,0.0678
36,2021-02-06,CNN,0.0
37,2021-02-07,CNN,0.0224
38,2021-02-08,CNN,0.0
39,2021-02-09,CNN,0.0
40,2021-02-10,CNN,0.0
41,2021-02-11,CNN,0.0
42,2021-02-12,CNN,0.0
43,2021-02-13,CNN,0.0
44,2021-02-14,CNN,0.0
45,2021-02-15,CNN,0.0
46,2021-02-16,CNN,0.0
47,2021-02-17,CNN,0.0
48,2021-02-18,CNN,0.0
49,2021-02-19,CNN,0.0
50,2021-02-20,CNN,0.0224
51,2021-02-21,CNN,0.0
52,2021-02-22,CNN,0.0219
53,2021-02-23,CNN,0.0636
54,2021-02-24,CNN,0.1554
55,2021-02-25,CNN,0.0
56,2021-02-26,CNN,0.0
57,2021-02-27,CNN,0.0
58,2021-02-28,CNN,0.0
59,2021-03-01,CNN,0.0
60,2021-03-02,CNN,0.022
61,2021-03-03,CNN,0.0457
62,2021-03-04,CNN,0.0695
63,2021-03-05,CNN,0.0
64,2021-03-06,CNN,0.0465
65,2021-03-07,CNN,0.0
66,2021-03-08,CNN,0.0
67,2021-03-09,CNN,0.0
68,2021-03-10,CNN,0.0227
69,2021-03-11,CNN,0.0
70,2021-03-12,CNN,0.0
71,2021-03-13,CNN,0.0
72,2021-03-14,CNN,0.0
73,2021-03-15,CNN,0.0
74,2021-03-16,CNN,0.0
75,2021-03-17,CNN,0.0
76,2021-03-18,CNN,0.0226
77,2021-03-19,CNN,0.0
78,2021-03-20,CNN,0.0
79,2021-03-21,CNN,0.0673
80,2021-03-22,CNN,0.068
81,2021-03-23,CNN,0.0
82,2021-03-24,CNN,0.0
83,2021-03-25,CNN,0.088
84,2021-03-26,CNN,0.0
85,2021-03-27,CNN,0.0223
86,2021-03-28,CNN,0.0222
87,2021-03-29,CNN,0.0
88,2021-03-30,CNN,0.0
89,2021-03-31,CNN,0.0
90,2021-04-01,CNN,0.0218
91,2021-04-02,CNN,0.0
92,2021-04-03,CNN,0.0
93,2021-04-04,CNN,0.0
94,2021-04-05,CNN,0.0
95,2021-04-06,CNN,0.0
96,2021-04-07,CNN,0.0
97,2021-04-08,CNN,0.0215
98,2021-04-09,CNN,0.0434
99,2021-04-10,CNN,0.0234
100,2021-04-11,CNN,0.0
101,2021-04-12,CNN,0.0
102,2021-04-13,CNN,0.0
103,2021-04-14,CNN,0.0212
104,2021-04-15,CNN,0.0221
105,2021-04-16,CNN,0.0
106,2021-04-17,CNN,0.0
107,2021-04-18,CNN,0.0452
108,2021-04-19,CNN,0.0215
109,2021-04-20,CNN,0.0
110,2021-04-21,CNN,0.0
111,2021-04-22,CNN,0.0
112,2021-04-23,CNN,0.0
113,2021-04-24,CNN,0.0
114,2021-04-25,CNN,0.0
115,2021-04-26,CNN,0.0
116,2021-04-27,CNN,0.0
117,2021-04-28,CNN,0.0
118,2021-04-29,CNN,0.0219
119,2021-04-30,CNN,0.0
120,2021-05-01,CNN,0.0445
121,2021-05-02,CNN,0.022
122,2021-05-03,CNN,0.0225
123,2021-05-04,CNN,0.0444
124,2021-05-05,CNN,0.0
125,2021-05-06,CNN,0.022
126,2021-05-07,CNN,0.0
127,2021-05-08,CNN,0.0
128,2021-05-09,CNN,0.0
129,2021-05-10,CNN,0.0
130,2021-05-11,CNN,0.0434
131,2021-05-12,CNN,0.0214
132,2021-05-13,CNN,0.0217
133,2021-05-14,CNN,0.0
134,2021-05-15,CNN,0.0896
135,2021-05-16,CNN,0.0221
136,2021-05-17,CNN,0.6436
137,2021-05-18,CNN,0.3073
138,2021-05-19,CNN,0.0224
