,date,series,fox_coverage
0,2021-01-01,FOXNEWS,0.0
1,2021-01-02,FOXNEWS,0.0
2,2021-01-03,FOXNEWS,0.1717
3,2021-01-04,FOXNEWS,0.0702
4,2021-01-05,FOXNEWS,0.0
5,2021-01-06,FOXNEWS,0.0214
6,2021-01-07,FOXNEWS,0.0
7,2021-01-08,FOXNEWS,0.0
8,2021-01-09,FOXNEWS,0.0
9,2021-01-10,FOXNEWS,0.0
10,2021-01-11,FOXNEWS,0.0
11,2021-01-12,FOXNEWS,0.0239
12,2021-01-13,FOXNEWS,0.0222
13,2021-01-14,FOXNEWS,0.0234
14,2021-01-15,FOXNEWS,0.0698
15,2021-01-16,FOXNEWS,0.0
16,2021-01-17,FOXNEWS,0.0
17,2021-01-18,FOXNEWS,0.0
18,2021-01-19,FOXNEWS,0.0941
19,2021-01-20,FOXNEWS,0.0227
20,2021-01-21,FOXNEWS,0.0449
21,2021-01-22,FOXNEWS,0.0922
22,2021-01-23,FOXNEWS,0.2653
23,2021-01-24,FOXNEWS,0.0
24,2021-01-25,FOXNEWS,0.2547
25,2021-01-26,FOXNEWS,0.0769
26,2021-01-27,FOXNEWS,0.658
27,2021-01-28,FOXNEWS,0.4723
28,2021-01-29,FOXNEWS,0.1898
29,2021-01-30,FOXNEWS,0.2292
30,2021-01-31,FOXNEWS,0.0418
31,2021-02-01,FOXNEWS,0.0233
32,2021-02-02,FOXNEWS,0.2088
33,2021-02-03,FOXNEWS,0.0
34,2021-02-04,FOXNEWS,0.1197
35,2021-02-05,FOXNEWS,0.2815
36,2021-02-06,FOXNEWS,0.0
37,2021-02-07,FOXNEWS,0.0
38,2021-02-08,FOXNEWS,0.0
39,2021-02-09,FOXNEWS,0.0452
40,2021-02-10,FOXNEWS,0.1118
41,2021-02-11,FOXNEWS,0.0
42,2021-02-12,FOXNEWS,0.3939
43,2021-02-13,FOXNEWS,0.0655
44,2021-02-14,FOXNEWS,0.0
45,2021-02-15,FOXNEWS,0.046
46,2021-02-16,FOXNEWS,0.0
47,2021-02-17,FOXNEWS,0.1292
48,2021-02-18,FOXNEWS,0.0
49,2021-02-19,FOXNEWS,0.1427
50,2021-02-20,FOXNEWS,0.2522
51,2021-02-21,FOXNEWS,0.0
52,2021-02-22,FOXNEWS,0.1152
53,2021-02-23,FOXNEWS,0.2959
54,2021-02-24,FOXNEWS,0.346
55,2021-02-25,FOXNEWS,0.0322
56,2021-02-26,FOXNEWS,0.1529
57,2021-02-27,FOXNEWS,0.1534
58,2021-02-28,FOXNEWS,0.0273
59,2021-03-01,FOXNEWS,0.0
60,2021-03-02,FOXNEWS,0.067
61,2021-03-03,FOXNEWS,0.0
62,2021-03-04,FOXNEWS,0.1123
63,2021-03-05,FOXNEWS,0.0593
64,2021-03-06,FOXNEWS,0.0
65,2021-03-07,FOXNEWS,0.0233
66,2021-03-08,FOXNEWS,0.0
67,2021-03-09,FOXNEWS,0.0595
68,2021-03-10,FOXNEWS,0.0464
69,2021-03-11,FOXNEWS,0.023
70,2021-03-12,FOXNEWS,0.0
71,2021-03-13,FOXNEWS,0.0927
72,2021-03-14,FOXNEWS,0.0
73,2021-03-15,FOXNEWS,0.0
74,2021-03-16,FOXNEWS,0.0
75,2021-03-17,FOXNEWS,0.0846
76,2021-03-18,FOXNEWS,0.0458
77,2021-03-19,FOXNEWS,0.0911
78,2021-03-20,FOXNEWS,0.0715
79,2021-03-21,FOXNEWS,0.0
80,2021-03-22,FOXNEWS,0.0
81,2021-03-23,FOXNEWS,0.0
82,2021-03-24,FOXNEWS,0.0
83,2021-03-25,FOXNEWS,0.0228
84,2021-03-26,FOXNEWS,0.1129
85,2021-03-27,FOXNEWS,0.1442
86,2021-03-28,FOXNEWS,0.0
87,2021-03-29,FOXNEWS,0.0694
88,2021-03-30,FOXNEWS,0.119
89,2021-03-31,FOXNEWS,0.0
90,2021-04-01,FOXNEWS,0.0246
91,2021-04-02,FOXNEWS,0.0228
92,2021-04-03,FOXNEWS,0.0969
93,2021-04-04,FOXNEWS,0.0
94,2021-04-05,FOXNEWS,0.0
95,2021-04-06,FOXNEWS,0.0
96,2021-04-07,FOXNEWS,0.0
97,2021-04-08,FOXNEWS,0.1636
98,2021-04-09,FOXNEWS,0.093
99,2021-04-10,FOXNEWS,0.0242
100,2021-04-11,FOXNEWS,0.0
101,2021-04-12,FOXNEWS,0.0231
102,2021-04-13,FOXNEWS,0.0447
103,2021-04-14,FOXNEWS,0.1108
104,2021-04-15,FOXNEWS,0.2043
105,2021-04-16,FOXNEWS,0.0231
106,2021-04-17,FOXNEWS,0.1443
107,2021-04-18,FOXNEWS,0.1443
108,2021-04-19,FOXNEWS,0.0217
109,2021-04-20,FOXNEWS,0.0444
110,2021-04-21,FOXNEWS,0.0
111,2021-04-22,FOXNEWS,0.1399
112,2021-04-23,FOXNEWS,0.0237
113,2021-04-24,FOXNEWS,0.0
114,2021-04-25,FOXNEWS,0.0235
115,2021-04-26,FOXNEWS,0.0681
116,2021-04-27,FOXNEWS,0.0
117,2021-04-28,FOXNEWS,0.0229
118,2021-04-29,FOXNEWS,0.0658
119,2021-04-30,FOXNEWS,0.0461
120,2021-05-01,FOXNEWS,0.0
121,2021-05-02,FOXNEWS,0.0
122,2021-05-03,FOXNEWS,0.0225
123,2021-05-04,FOXNEWS,0.0905
124,2021-05-05,FOXNEWS,0.2979
125,2021-05-06,FOXNEWS,0.0233
126,2021-05-07,FOXNEWS,0.0922
127,2021-05-08,FOXNEWS,0.1199
128,2021-05-09,FOXNEWS,0.0
129,2021-05-10,FOXNEWS,0.023
130,2021-05-11,FOXNEWS,0.0229
131,2021-05-12,FOXNEWS,0.0
132,2021-05-13,FOXNEWS,0.0689
133,2021-05-14,FOXNEWS,0.0
134,2021-05-15,FOXNEWS,0.1397
135,2021-05-16,FOXNEWS,0.0238
136,2021-05-17,FOXNEWS,0.1807
137,2021-05-18,FOXNEWS,0.3447
138,2021-05-19,FOXNEWS,0.2341
139,2021-05-20,FOXNEWS,0.0
140,2021-05-21,FOXNEWS,0.1172
141,2021-05-22,FOXNEWS,0.1689
142,2021-05-23,FOXNEWS,0.0238
143,2021-05-24,FOXNEWS,0.0729
144,2021-05-25,FOXNEWS,0.0
145,2021-05-26,FOXNEWS,0.0
146,2021-05-27,FOXNEWS,0.1865
147,2021-05-28,FOXNEWS,0.1384
148,2021-05-29,FOXNEWS,0.0475
149,2021-05-30,FOXNEWS,0.0
150,2021-05-31,FOXNEWS,0.0
151,2021-06-01,FOXNEWS,0.0227
152,2021-06-02,FOXNEWS,0.0
153,2021-06-03,FOXNEWS,0.2334
154,2021-06-04,FOXNEWS,0.0238
155,2021-06-05,FOXNEWS,0.1694
156,2021-06-06,FOXNEWS,0.0464
157,2021-06-07,FOXNEWS,0.0
158,2021-06-08,FOXNEWS,0.0
159,2021-06-09,FOXNEWS,0.0229
160,2021-06-10,FOXNEWS,0.046
161,2021-06-11,FOXNEWS,0.0
162,2021-06-12,FOXNEWS,0.0728
163,2021-06-13,FOXNEWS,0.0
164,2021-06-14,FOXNEWS,0.2024
165,2021-06-15,FOXNEWS,0.0289
166,2021-06-16,FOXNEWS,0.1212
167,2021-06-17,FOXNEWS,0.0223
168,2021-06-18,FOXNEWS,0.2514
169,2021-06-19,FOXNEWS,0.3056
170,2021-06-20,FOXNEWS,0.0476
171,2021-06-21,FOXNEWS,0.0
172,2021-06-22,FOXNEWS,0.1183
173,2021-06-23,FOXNEWS,0.1154
174,2021-06-24,FOXNEWS,0.0228
175,2021-06-25,FOXNEWS,0.0
176,2021-06-26,FOXNEWS,0.0
177,2021-06-27,FOXNEWS,0.0461
178,2021-06-28,FOXNEWS,0.0466
179,2021-06-29,FOXNEWS,0.0
180,2021-06-30,FOXNEWS,0.0
181,2021-07-01,FOXNEWS,0.0
182,2021-07-02,FOXNEWS,0.0722
183,2021-07-03,FOXNEWS,0.0251
184,2021-07-04,FOXNEWS,0.0
185,2021-07-05,FOXNEWS,0.0
186,2021-07-06,FOXNEWS,0.0
187,2021-07-07,FOXNEWS,0.0
188,2021-07-08,FOXNEWS,0.0935
189,2021-07-09,FOXNEWS,0.0
190,2021-07-10,FOXNEWS,0.0
191,2021-07-11,FOXNEWS,0.069
192,2021-07-12,FOXNEWS,0.0706
193,2021-07-13,FOXNEWS,0.0235
194,2021-07-14,FOXNEWS,0.0
195,2021-07-15,FOXNEWS,0.0
196,2021-07-16,FOXNEWS,0.1199
197,2021-07-17,FOXNEWS,0.0247
198,2021-07-18,FOXNEWS,0.0
199,2021-07-19,FOXNEWS,0.0457
200,2021-07-20,FOXNEWS,0.0
201,2021-07-21,FOXNEWS,0.1835
202,2021-07-22,FOXNEWS,0.0689
203,2021-07-23,FOXNEWS,0.2761
204,2021-07-24,FOXNEWS,0.0965
205,2021-07-25,FOXNEWS,0.0701
206,2021-07-26,FOXNEWS,0.0709
207,2021-07-27,FOXNEWS,0.0
208,2021-07-28,FOXNEWS,0.0924
209,2021-07-29,FOXNEWS,0.0
210,2021-07-30,FOXNEWS,0.0
211,2021-07-31,FOXNEWS,0.12
212,2021-08-01,FOXNEWS,0.0
213,2021-08-02,FOXNEWS,0.0
214,2021-08-03,FOXNEWS,0.0
215,2021-08-04,FOXNEWS,0.0455
216,2021-08-05,FOXNEWS,0.0
217,2021-08-06,FOXNEWS,0.0228
218,2021-08-07,FOXNEWS,0.0
219,2021-08-08,FOXNEWS,0.0238
220,2021-08-09,FOXNEWS,0.0
221,2021-08-10,FOXNEWS,0.0456
222,2021-08-11,FOXNEWS,0.0
223,2021-08-12,FOXNEWS,0.0
224,2021-08-13,FOXNEWS,0.0681
225,2021-08-14,FOXNEWS,0.0943
226,2021-08-15,FOXNEWS,0.0
227,2021-08-16,FOXNEWS,0.0
228,2021-08-17,FOXNEWS,0.0445
229,2021-08-18,FOXNEWS,0.0
230,2021-08-19,FOXNEWS,0.0
231,2021-08-20,FOXNEWS,0.0
232,2021-08-21,FOXNEWS,0.0
233,2021-08-22,FOXNEWS,0.0
234,2021-08-23,FOXNEWS,0.0
235,2021-08-24,FOXNEWS,0.0
236,2021-08-25,FOXNEWS,0.0
237,2021-08-26,FOXNEWS,0.0
238,2021-08-27,FOXNEWS,0.0
239,2021-08-28,FOXNEWS,0.0
240,2021-08-29,FOXNEWS,0.0
241,2021-08-30,FOXNEWS,0.0
242,2021-08-31,FOXNEWS,0.0
243,2021-09-01,FOXNEWS,0.6042
244,2021-09-02,FOXNEWS,0.4476
245,2021-09-03,FOXNEWS,2.0586
246,2021-09-04,FOXNEWS,0.4975
247,2021-09-05,FOXNEWS,0.9249
248,2021-09-06,FOXNEWS,0.414
249,2021-09-07,FOXNEWS,0.6345
250,2021-09-08,FOXNEWS,0.4909
251,2021-09-09,FOXNEWS,0.3687
252,2021-09-10,FOXNEWS,0.1382
253,2021-09-11,FOXNEWS,0.1264
254,2021-09-12,FOXNEWS,0.1618
255,2021-09-13,FOXNEWS,0.3347
256,2021-09-14,FOXNEWS,0.0
257,2021-09-15,FOXNEWS,0.1577
258,2021-09-16,FOXNEWS,0.3455
259,2021-09-17,FOXNEWS,0.1826
260,2021-09-18,FOXNEWS,0.0971
261,2021-09-19,FOXNEWS,0.0
262,2021-09-20,FOXNEWS,0.1122
263,2021-09-21,FOXNEWS,0.0926
264,2021-09-22,FOXNEWS,0.0231
265,2021-09-23,FOXNEWS,0.1384
266,2021-09-24,FOXNEWS,0.0921
267,2021-09-25,FOXNEWS,0.1207
268,2021-09-26,FOXNEWS,0.1164
269,2021-09-27,FOXNEWS,0.0715
270,2021-09-28,FOXNEWS,0.0
271,2021-09-29,FOXNEWS,0.0
272,2021-09-30,FOXNEWS,0.2362
273,2021-10-01,FOXNEWS,0.2144
274,2021-10-02,FOXNEWS,1.423
275,2021-10-03,FOXNEWS,0.3944
276,2021-10-04,FOXNEWS,0.882
277,2021-10-05,FOXNEWS,0.2403
278,2021-10-06,FOXNEWS,0.1161
279,2021-10-07,FOXNEWS,0.1188
280,2021-10-08,FOXNEWS,1.5286
281,2021-10-09,FOXNEWS,0.5272
282,2021-10-10,FOXNEWS,0.0924
283,2021-10-11,FOXNEWS,0.0937
284,2021-10-12,FOXNEWS,0.21
285,2021-10-13,FOXNEWS,0.0477
286,2021-10-14,FOXNEWS,0.0703
287,2021-10-15,FOXNEWS,0.1395
288,2021-10-16,FOXNEWS,0.0
289,2021-10-17,FOXNEWS,0.0
290,2021-10-18,FOXNEWS,0.023
291,2021-10-19,FOXNEWS,0.0715
292,2021-10-20,FOXNEWS,0.1853
293,2021-10-21,FOXNEWS,0.1576
294,2021-10-22,FOXNEWS,0.1191
295,2021-10-23,FOXNEWS,0.0238
296,2021-10-24,FOXNEWS,0.1187
297,2021-10-25,FOXNEWS,0.149
298,2021-10-26,FOXNEWS,0.0481
299,2021-10-27,FOXNEWS,0.0231
300,2021-10-28,FOXNEWS,0.0477
301,2021-10-29,FOXNEWS,0.381
302,2021-10-30,FOXNEWS,0.5156
303,2021-10-31,FOXNEWS,0.0941
304,2021-11-01,FOXNEWS,0.5961
305,2021-11-02,FOXNEWS,0.3488
306,2021-11-03,FOXNEWS,0.0446
307,2021-11-04,FOXNEWS,0.0238
308,2021-11-05,FOXNEWS,0.0924
309,2021-11-06,FOXNEWS,0.0233
310,2021-11-07,FOXNEWS,0.0235
311,2021-11-08,FOXNEWS,0.2815
312,2021-11-09,FOXNEWS,0.0
313,2021-11-10,FOXNEWS,0.0
314,2021-11-11,FOXNEWS,0.0233
315,2021-11-12,FOXNEWS,0.0236
316,2021-11-13,FOXNEWS,0.0245
317,2021-11-14,FOXNEWS,0.1848
318,2021-11-15,FOXNEWS,0.1754
319,2021-11-16,FOXNEWS,0.0717
320,2021-11-17,FOXNEWS,0.0
321,2021-11-18,FOXNEWS,0.0236
322,2021-11-19,FOXNEWS,0.0
323,2021-11-20,FOXNEWS,0.093
324,2021-11-21,FOXNEWS,0.0238
325,2021-11-22,FOXNEWS,0.2242
326,2021-11-23,FOXNEWS,0.0
327,2021-11-24,FOXNEWS,0.0
328,2021-11-25,FOXNEWS,0.0989
329,2021-11-26,FOXNEWS,0.1707
330,2021-11-27,FOXNEWS,0.0
331,2021-11-28,FOXNEWS,0.0738
332,2021-11-29,FOXNEWS,0.3046
333,2021-11-30,FOXNEWS,0.6235
334,2021-12-01,FOXNEWS,3.3579
335,2021-12-02,FOXNEWS,2.2868
336,2021-12-03,FOXNEWS,0.2604
337,2021-12-04,FOXNEWS,0.4437
338,2021-12-05,FOXNEWS,0.3052
339,2021-12-06,FOXNEWS,0.3041
340,2021-12-07,FOXNEWS,0.0238
341,2021-12-08,FOXNEWS,0.0479
342,2021-12-09,FOXNEWS,0.4667
343,2021-12-10,FOXNEWS,0.826
344,2021-12-11,FOXNEWS,0.1443
345,2021-12-12,FOXNEWS,0.3351
346,2021-12-13,FOXNEWS,0.1393
347,2021-12-14,FOXNEWS,0.094
348,2021-12-15,FOXNEWS,0.0
